Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
524742,CAPLIPOINT,A,1482.00,1508.75,1451.60,1501.90,9074,134.64,1676
532689,PVRINOX,A,1470.00,1505.10,1467.65,1500.60,9861,146.95,1671
540025,ADVENZYMES,A,425.00,425.50,411.15,413.95,31396,131.40,1669
526247,PREMEXPLN,T,595.00,605.00,580.60,584.85,27135,160.09,1661
526650,TFCILTD,B,173.80,173.85,167.00,168.25,79408,135.28,1654
530185,SURATRAML,X,9.90,10.45,9.05,9.45,1136112,107.95,1654
531213,MANAPPURAM,A,201.25,206.35,200.55,204.90,143334,292.64,1652
541303,AKSHAR,B,2.11,2.20,2.09,2.14,2593656,55.60,1652
507514,SDBL,B,111.95,111.95,108.00,108.60,159394,173.85,1651
516092,3PLAND,B,55.50,55.99,50.23,51.05,212926,112.48,1647
533552,RUPA,B,314.95,314.95,307.00,308.45,41728,129.43,1639
542216,DALBHARAT,A,1772.00,1788.00,1736.80,1742.25,8378,147.02,1637
544203,ABDL,B,296.00,296.00,288.95,292.55,41028,119.89,1637
538365,INCREDIBLE,B,61.01,63.00,54.90,55.59,43174,25.28,1628
542773,IIFLSEC,B,208.45,217.60,207.90,208.45,50810,108.25,1625
543240,LIKHITHA,B,410.00,418.25,401.00,404.30,22609,92.81,1622
750885,TATACON-RE,R,357.45,369.00,351.00,359.20,15420,55.40,1618
530019,JUBLPHARMA,A,838.95,868.05,836.10,860.00,18269,155.88,1613
512237,JAICORPLTD,A,340.80,354.20,338.55,347.80,39808,138.11,1609
543664,KAYNES,A,4339.60,4346.90,4253.60,4276.20,7114,305.72,1608
500020,BOMDYEING,A,218.95,222.90,216.10,217.90,72532,158.83,1608
500052,BEPL,B,140.40,145.55,139.55,142.35,63963,91.23,1607
538920,VINCOFE,X,82.70,84.00,77.00,80.73,616853,507.36,1603
538975,SHREESEC,X,0.35,0.36,0.35,0.35,2974396,10.54,1595
543213,ROSSARI,A,915.95,953.00,915.95,924.70,19799,186.08,1594
533193,KECL,B,211.00,216.00,206.85,211.05,50889,107.15,1590
532374,STLTECH,A,141.70,144.50,140.25,140.70,130635,185.75,1588
504067,ZENSARTECH,A,760.95,777.00,757.90,772.55,22085,169.43,1587
534600,JTLIND,A,208.70,218.70,208.70,215.10,77985,167.97,1586
543529,DELHIVERY,A,410.00,413.35,396.70,398.55,50002,202.11,1581
543527,PRUDENT,B,2300.30,2395.00,2244.60,2335.35,8499,199.04,1581
500670,GNFC,A,672.00,673.60,665.30,667.05,22925,153.33,1571
