,Symbol,LTP,2_day_rise,5_day_rise,1_month_rise,2_month_rise,3_month_rise,6_month_rise,1_year_rise,P/E Ratio (TTM),ROE,Debt-to-Equity,Price-to-Book Ratio,10_day_rise
852,GIPCL.NS,224.1100006103516,1.4761124821105904,-4.800137154739172,-9.705880996813287,4.9843066139527235,30.10740238627088,9.109059040817929,87.38294604480639,16.626047,0.06146,18.588,0.9978014,-5.958624100422288
1149,KIRLPNU.NS,1279.699951171875,-0.20276827242003076,-7.449193869769415,-2.6029433447525143,4.9751773852150585,18.809765126558844,94.51282925724142,109.5807406385601,56.281235,,0.084,8.677758,-5.305614321952901
1608,QNIFTY.NS,2621.110107421875,0.8774953071022162,-1.6081324550093254,0.15667107274905676,4.970368739362235,11.26955846180745,12.42693106657369,25.592242808906324,29.788836,,,,-1.980500120925873
2195,AXISNIFTY.NS,262.9599914550781,0.843680628571268,-1.796316897315987,-0.14430200049251807,4.948912043944545,11.145862261871228,12.568486551559499,25.872378940928616,29.808052,,,,-2.07790903116409
1604,SANGAMIND.NS,404.3500061035156,4.781034594154559,-2.1418213557751398,-1.892511927327068,4.944204234125972,1.1507207263328643,-21.9853336625911,18.248279476213245,47.978073,0.043720003,108.294,1.9877776,-2.917165401316777
1734,MENONBE.NS,129.72999572753906,2.4076376815722718,-2.6635677403001705,-5.112642942330215,4.92558748621322,6.466965410009052,-2.787561862699709,-3.796818794391646,30.975964,,23.807,5.0007763,-3.8965920079848937
502,HARSHA.NS,571.1500244140625,6.270352859169656,0.16661034491285043,-2.124918796726202,4.894403014520202,40.3489390051907,44.39389256485147,37.84240762660302,39.66321,,15.032,4.150819,7.127449734577505
1434,MOVALUE.NS,106.1999969482422,1.2006808438369247,-2.6224103010959574,-0.9605580308179584,4.888885874807113,10.567406115557276,13.753209355128224,82.41153335887824,13.714747,,,,-4.186213950696641
1570,HDFCNIFTY.NS,268.3099975585937,-0.5780552068844846,-1.5809543084839122,0.09326270322947158,4.878237750934528,11.304239722883262,12.57919502253475,25.695675592407465,,,,,-1.7359422985834374
654,MTARTECH.NS,1804.949951171875,2.6035259143442033,-3.1783071318478586,-8.68179876133113,4.877975082619117,0.8718236118582201,-8.764881166321725,-20.187930525232147,98.519135,0.08656,28.228,8.218161,-5.727046161718736
2059,NIDAN.NS,33.349998474121094,2.6153799203725963,-2.4853867539659746,-6.4516211874162295,4.8742115542384585,-5.120918843865696,-5.657708872220046,-15.782828890976896,,,,,-4.304160877119894
835,AGI.NS,750.5,-2.6778219231404243,-2.2277196625604962,-15.645724434882856,4.862370713904937,5.451733473018679,-8.363858363858364,17.091814604347547,20.333504,,34.158,2.8155577,-3.298540960088307
1532,INFRABEES.NS,954.5700073242188,0.7663816263245916,-1.7467084306279967,-0.4318317899628235,4.8517115252258876,11.63125488842995,15.603166882995929,53.14530667935984,,,,,-1.788158306963471
1741,OSIAHYPER.NS,26.15999984741211,4.015905543543921,3.440090551165662,14.385653202665084,4.849695581051765,0.22988300791359667,-65.91530964506566,-34.92537474892507,19.542253,,57.649,1.674208,7.47740215042978
407,METROPOLIS.NS,2104.300048828125,2.4613535643639683,0.9813542343988894,3.0383179742012487,4.8375896780766405,22.703292150898967,28.010468113312083,51.59024686228343,82.45181,0.12292,17.927,9.594543,-0.24886823628178079
282,NAVINFLUOR.NS,3601.85009765625,4.221708894681818,-0.12062152888143284,-1.684157452458203,4.835991176345398,11.782327361351392,18.93574870573379,-19.553976814506786,66.34278,,57.448,7.2521763,0.8695543968729106
2258,CONS.NS,117.83000183105467,-9.493817020177381,-2.085752520540544,2.980251456632914,4.830961060018819,13.396206022867464,20.628584626254554,40.70934420459823,,,,,-0.791441305531609
1132,SMALLCAP.NS,51.15999984741211,1.3470687625637334,-2.9037745666618777,-4.72998301571776,4.814583913138384,14.14547120873816,23.42581159408419,23.42581159408419,,,,,-4.570044273542467
2349,LICNFNHGP.NS,273.0,-1.6605978152134768,-3.1433994933730967,0.7194289964405728,4.8145622960617604,11.505942065214729,14.106583072100314,30.62200956937799,31.854717,,,,-1.532912533814247
531,NIFTYETF.NS,258.70001220703125,0.9049096185481356,-1.6648831491525247,0.034811824975112496,4.8132260474359025,11.340652210603476,12.365902361907903,27.044151649414886,,,,,-2.0149901628717735
2453,LICNETFSEN.NS,879.75,-0.6145576007865433,-3.6945812807881775,-0.028409090909090908,4.812001447927054,10.3799124791628,12.857909733866931,21.773131031229266,29.651302,,,,-2.1227614484459947
774,DEN.NS,52.560001373291016,1.624130187088327,-4.644407852324706,-4.730826322781065,4.80558279977016,8.036998406530824,-13.338829264721365,20.274600585054085,11.434211,,0.737,0.72608274,-7.0063677501770165
313,TRIDENT.NS,38.84000015258789,6.033303357985323,1.648785875975713,2.345189385391469,4.803018654445363,3.1606867954335494,-12.325054579018872,21.564942801630615,57.907692,,49.237,4.4889684,1.7020202913134466
